Date	Month	Day	Year	DateString	Title	IMDB	MovieWikipedia	ReasonWikipedia	Reason	Refreshments	Timestamp	Mention
May 5 1862	05	05	1862	1862-05-05	Cinco de Mayo, La Batalla	tt2553908		Battle_of_Puebla	Date of the battle			
May 6 1937	05	06	1937	1937-05-06	The Hindenburg	tt1046932	The_Hindenburg_(film)	Hindenburg_disaster	Date of the Hindenburg's crash			
May 9 2020	05	09	2020	2020-05-09	Mars Attacks	tt0116996						
May 10 1969	05	10	1969	1969-05-10	Hamburger Hill	tt0093137	Hamburger_Hill		Start of the 10 day battle for Ap Bia Mountain			
May 10 1996	05	10	1996	1996-05-10	Into Thin Air: Death on Everest	tt0118949	Into_Thin_Air:_Death_on_Everest	1996_Mount_Everest_disaster				
May 12 1962	05	12	1962	1962-05-12	MacArthur	tt0076342	MacArthur_(film)		Date of MacArthur's visit to West Point			
May 12 1984	05	12	1984	1984-05-12	Terminator: Genisys	tt1340138	Terminator_Genisys		Date T-800 is sent back to, to kill Sarah Conner			
May 16 1943	05	16	1943	1943-05-16	The Dam Busters	tt0046889	The_Dam_Busters_(film)	Operation_Chastise	Date of the attack on several dams			
May 22 2020	05	22	2020	2020-05-22	Cloverfield	tt1060277			Date of the attack on New York by a monster			
May 23 2020	05	23	2020	2020-05-23	Run Lola Run	tt0130827			Date on a post-it note in the ambulance			
May 28 1976	05	28	1976	1976-05-28	Dazed and Confused	tt0106677	Dazed_and_Confused_(film)		Date of the last day of school			
May 29 2010	05	29	2010	2010-05-29	TT3D	tt1698010	TT3D:_Closer_to_the_Edge	Isle_of_Man_TT	Date of the motorbike race			
May 29 2020	05	29	2020	2020-05-29	Beyond the Edge	tt5629524			Date Hillary reached the top of Everest			
Jun 4 1940	06	04	1940	1940-06-04	Darkest Hour	tt4555426	Darkest_Hour_(film)	We_shall_fight_on_the_beaches	Date of Churchill's "We Shall Fight on the Beaches" speech			
Jun 4 1942	06	04	1942	1942-06-04	Midway	tt6924650		Battle_of_Midway	Date of the beginning of the battle			
Jun 5 1944	06	05	1944	1944-06-05	Overlord	tt4530422	Overlord_(2018_film)		Day before D-Day			
Jun 5 1985	06	05	1985	1985-06-05	Ferris Bueller's Day Off	tt0091042	Ferris_Bueller%27s_Day_Off					
Jun 6 1944	06	06	1944	1944-06-06	D-day the Sixth of June	tt0049117		Normandy_landings	D-Day			
Jun 6 1944	06	06	1944	1944-06-06	The Longest Day	tt0056197	The_Longest_Day_(film)	Normandy_landings	D-Day			
Jun 6 1944	06	06	1944	1944-06-06	Overlord	tt0073502	Overlord_(1975_film)	Normandy_landings	D-Day			
Jun 6 1944	06	06	1944	1944-06-06	Saving Private Ryan	tt0120815	Saving_Private_Ryan	Normandy_landings	D-Day			
Jun 6 1944	06	06	1944	1944-06-06	D-Day 6.6.1944	tt0412617		Normandy_landings	D-Day			
Jun 6 1950	06	06	1950	1950-06-06	The Final Conflict	tt0082377						
Jun 6 1966	06	06	1966	1966-06-06	Omen II: Damien	tt0077394			Date of Damien's birth			
Jun 6 1971	06	06	1971	1971-06-06	The Omen	tt0075005			Date of Damien's birth			
Jun 6 2001	06	06	2001	2001-06-06	The Omen	tt0466909			Date of Damien's birth			
Jun 9 1954	06	09	1954	1954-06-09	Clue	tt0088930	Clue_(film)		Date the movie is set, as calculated from the McCarthy hearing on TV			
Jun 11 2000	06	11	-323	-0323-06-11	Alexander	tt0346491	Alexander_(2004_film)	Death_of_Alexander_the_Great	Date of Alexander's death			
Jun 11 1962	06	11	1962	1962-06-11	Escape from Alcatraz	tt0079116	Escape_from_Alcatraz_(film)	June_1962_Alcatraz_escape_attempt	Date of the prison escape from Alcatraz			
Jun 16 1994	06	16	1994	1994-06-16	Before Sunrise	tt0112471	Before_Sunrise					
Jun 17 1972	06	17	1972	1972-06-17	All the President's Men	tt0074119	All_the_President%27s_Men_(film)	Watergate_scandal	Date of Watergate			
Jun 18 1815	06	18	1815	1815-06-18	Waterloo	tt0066549		Battle_of_Waterloo	Date of the battle of Waterloo			
Jun 18 1972	06	18	1972	1972-06-18	Superman	tt0078346	Superman_(1978_film)		Date Superman lands on earth			
Jun 21 1964	06	21	1964	1964-06-21	Mississippi Burning	tt0095647	Mississippi_Burning	Murders_of_Chaney,_Goodman,_and_Schwerner	Date of the real life event			
Jun 27 1976	06	27	1976	1976-06-27	Raid on Entebbe	tt0076594	Raid_on_Entebbe_(film)		Date the plane was hijacked			
Jul 1 1931	07	01	1931	1931-07-01	Rabbit-Proof Fence	tt0252444			Date the children were taken		00:05:35	
Jul 4 2020	07	02	2020	2020-07-02	Independence Day	tt0116629	Independence_Day_(1996_film)		Date the ships arrived			
Jul 3 1863	07	03	1863	1863-07-03	Gettysburg	tt0107007	Gettysburg_(1993_film)		Last day of the battle			
Jul 4 1946	07	04	1946	1946-07-04	Born on the Fourth of July	tt0096969	Born_on_the_Fourth_of_July_(film)	Ron_Kovic	Date of the birth of Ron Kovic			
Jul 4 1976	07	04	1976	1976-07-04	Victory at Entebbe	tt0075391	Victory_at_Entebbe		Date of the operation to free the hostages			
Jul 4 1976	07	04	1976	1976-07-04	Operation Thunderbolt	tt0076398	Operation_Thunderbolt_(film)		Date of the operation to free the hostages			
Jul 4 1976	07	04	1976	1976-07-04	Entebbe	tt5466186	Entebbe_(film)		Date of the operation to free the hostages			
Jul 4 2020	07	04	2020	2020-07-04	Independence Day	tt0116629	Independence_Day_(1996_film)					
Jul 13 1985	07	13	1985	1985-07-13	Bohemian Rhapsody	tt1727824	Bohemian_Rhapsody_(film)	Live_Aid#London,_Wembley_Stadium	Date of Live Aid concert			
Jul 13 2020	07	13	2020	2020-07-13	Hotel Transylvania 3	tt5220122			Date the movie is set			
Jul 14 2020	07	14	2020	2020-07-14	Con Air	tt0118880						
Jul 18 1918	07	18	1918	1918-07-18	Mandela: Long Walk to Freedom	tt2304771	Mandela:_Long_Walk_to_Freedom	Mandela_Day	Nelson Mandela Day			
Jul 20 1944	07	20	1944	1944-07-20	Valkyrie	tt0985699	Valkyrie_(film)	20_July_plot	Date of the attempted assassination of Hitler			
Jul 20 1969	07	20	1969	1969-07-20	Apollo 11	tt8760684	Apollo_11_(2019_film)	Apollo_11	Date of the moon landing			
Jul 26 1942	07	26	1942	1942-07-26	Guadalcanal Diary	tt0035957	Guadalcanal_Diary_(film)	Guadalcanal_campaign	Date the movie is set			
Aug 3 2006	08	03	2006	2006-08-03	The King of Kong	tt0923752	The_King_of_Kong	Donkey_Kong_high_score_competition	Date of record breaking attempt			
Aug 5 2020	08	05	2020	2020-08-05	Do the Right Thing	tt0097216	Do_the_Right_Thing		Date the movie is set on			
Aug 7 1974	08	07	1974	1974-08-07	Man on Wire	tt1155592	Man_on_Wire	Philippe_Petit#World_Trade_Center_walk	Date of the tight rope walk			
Aug 7 1974	08	07	1974	1974-08-07	The Walk	tt3488710	The_Walk_(2015_film)	Philippe_Petit#World_Trade_Center_walk	Date of the tight rope walk			
Aug 8 1915	08	08	1915	1915-08-08	Chunuk Bair	tt0103966	Chunuk_Bair_(film)	Battle_of_Chunuk_Bair	Date of the battle			
Aug 18 1966	08	18	1966	1966-08-18	Danger Close	tt0441881			Date of the battle			
Aug 18 1966	08	18	1966	1966-08-18	Danger Close	tt0441881	Danger_Close:_The_Battle_of_Long_Tan	Battle_of_Long_Tan	Date of the battle			
Aug 22 1972	08	22	1972	1972-08-22	Dog Day Afternoon	tt0072890	Dog_Day_Afternoon	John_Wojtowicz#Bank_robbery	Date of the real life event			
Aug 24 1979	08	24	79	0079-08-24	Pompeii	tt1921064	Pompeii_(film)	Eruption_of_Mount_Vesuvius_in_79_AD	Date of the eruption			
Aug 24 1979	08	24	79	0079-08-24	The Last Days of Pompeii	tt0054422	The_Last_Days_of_Pompeii_(1935_film)		Date of the eruption			
Aug 25 1963	08	25	1963	1963-08-25	The Day of the Jackal	tt0069947	The_Day_of_the_Jackal_(film)	Liberation_of_Paris	Date of the attempted assassination - Liberation of Paris day			
Aug 29 1997	08	29	1997	1997-08-29	Terminator 2: Judgement Day	tt0103064	Terminator_2:_Judgment_Day		SkyNet becomes self-aware, Judgement Day			
Aug 31 1997	08	31	1997	1997-08-31	The Queen	tt0436697	The_Queen_(2006_film)	Death_of_Diana,_Princess_of_Wales	Date of Diana's death			
Sep 1 2020	09	01	2020	2020-09-01	Harry Potter	tt0241527			First day of school			
Sep 2 1885	09	02	1885	1885-09-02	Back to the Future Part III	tt0099088	Back_to_the_Future_Part_III		Date Marty and Doc travel back to			
Sep 3 1939	09	03	1939	1939-09-03	The King's Speech	tt1504320	The_King%27s_Speech		Date of the speech			
Sep 5 1965	09	05	1965	1965-09-05	Moonrise Kingdom	tt1748122	Moonrise_Kingdom		Date of the storm			
Sep 5 1972	09	05	1972	1972-09-05	Munich	tt0408306	Munich_(film)	Munich_massacre	Date the hostages were taken			
Sep 5 1972	09	05	1972	1972-09-05	One Day in September	tt0230591	One_Day_in_September	Munich_massacre	Date the hostages were taken			
Sep 11 2001	09	11	2001	2001-09-11	World Trade Center	tt0469641			Date of the terror attack			
Sep 13 2020	09	13	2020	2020-09-13	Dr. Strangelove	tt0057012						
Sep 15 2020	09	15	2020	2020-09-15	4 Little Girls	tt0118540						
Sep 19 1720	09	19	1720	1720-09-19	Pirates of the Caribbean	tt0325980	Pirates_of_the_Caribbean		Talk Like a Pirate Day			
Sep 21 2020	09	21	2020	2020-09-21	Around the World in 80 Days	tt0327437			Date of Phileas Fogg's return to London			
Sep 22 2020	09	22		0000-09-22	The Lord of the Rings	tt0120737			Hobbit Day Bilbo Baggins Birthday			
Oct 1 2020	10	01	2020	2020-10-01	Willy Wonka and the Chocolate Factory	tt0067992			Date of Factory Visit	Large chocolate bar		
Oct 3 1993	10	03	1993	1993-10-03	Black Hawk Down	tt0265086	Black_Hawk_Down_(film)	Battle_of_Mogadishu_(1993)	Date of event			
