Date	Month	Day	Year	Title	IMDB	MovieWikipedia	ReasonWikipedia	Reason	Refreshments	Timestamp	Mention	
May 10 1969	5	10	1969	Hamburger Hill	tt0093137	Hamburger_Hill		Start of the 10 day battle for Ap Bia Mountain				
May 10 1996	5	10	1996	Into Thin Air: Death on Everest	tt0118949	Into_Thin_Air:_Death_on_Everest	1996_Mount_Everest_disaster					
May 12 1962	5	12	1962	MacArthur	tt0076342	MacArthur_(film)		Date of MacArthur's visit to West Point				
May 12 1984	5	12	1984	Terminator: Genisys	tt1340138	Terminator_Genisys		Date T-800 is sent back to, to kill Sarah Conner				
May 16 1943	5	16	1943	The Dam Busters	tt0046889	The_Dam_Busters_(film)	Operation_Chastise	Date of the attack on several dams				
May 22 2020	5	22	2020	Cloverfield	tt1060277			Date of the attack on New York by a monster				
May 23 2020	5	23	2020	Run Lola Run	tt0130827			Date on a post-it note				
May 28 2020	5	28	2020	Dazed and Confused	tt0106677							
May 29 2010	5	29	2010	TT3D	tt1698010	TT3D:_Closer_to_the_Edge	Isle_of_Man_TT	Date of the motorbike race				
May 29 2020	5	29	2020	Beyond the Edge	tt5629524			Date Hillary reached the top of Everest				
Jun 4 1940	6	4	1940	Darkest Hour	tt4555426	Darkest_Hour_(film)	We_shall_fight_on_the_beaches	Date of Churchill's "We Shall Fight on the Beaches" speech				
Jun 4 1942	6	4	1942	Midway	tt6924650		Battle_of_Midway	Date of the beginning of the battle				
Jun 5 1944	6	5	1944	Overlord	tt4530422	Overlord_(2018_film)						
Jun 5 1985	6	5	1985	Ferris Bueller's Day Off	tt0091042	Ferris_Bueller%27s_Day_Off						
Jun 6 1944	6	6	1944	D-day the Sixth of June	tt0049117		Normandy_landings	D-Day				
Jun 6 1944	6	6	1944	The Longest Day	tt0056197	The_Longest_Day_(film)	Normandy_landings	D-Day				
Jun 6 1944	6	6	1944	Overlord	tt0073502	Overlord_(1975_film)	Normandy_landings	D-Day				
